[ INFO] [1775033726.797003066, 59.080000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.31
[ INFO] [1775033726.797032348, 59.080000000]: Control Output - Linear X: 0.55, Linear Y: 1.00, Angular Z: 0.92
[ INFO] [1775033726.961846389, 59.180000000]: Current Position - X: 0.93, Y: -0.05, Theta: 0.39
[ INFO] [1775033726.961942523, 59.180000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.33
[ INFO] [1775033726.961978302, 59.180000000]: Control Output - Linear X: 0.46, Linear Y: 1.00, Angular Z: 0.96
[ INFO] [1775033727.226762942, 59.280000000]: Current Position - X: 1.03, Y: -0.01, Theta: 0.40
[ INFO] [1775033727.226875525, 59.280000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.13
[ INFO] [1775033727.226908871, 59.280000000]: Control Output - Linear X: -1.00, Linear Y: -1.00, Angular Z: 1.00
[ INFO] [1775033727.460741714, 59.380000000]: Current Position - X: 1.07, Y: -0.00, Theta: 0.44
[ INFO] [1775033727.460829080, 59.380000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.14
[ INFO] [1775033727.460856889, 59.380000000]: Control Output - Linear X: -1.00, Linear Y: -0.01, Angular Z: 1.00
[ INFO] [1775033727.628216644, 59.480000000]: Current Position - X: 1.07, Y: -0.01, Theta: 0.46
[ INFO] [1775033727.628337068, 59.480000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.14
[ INFO] [1775033727.628398192, 59.480000000]: Control Output - Linear X: -1.00, Linear Y: 0.01, Angular Z: 1.00
[ INFO] [1775033727.795150420, 59.580000000]: Current Position - X: 1.03, Y: -0.03, Theta: 0.47
[ INFO] [1775033727.795232954, 59.580000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.12
[ INFO] [1775033727.795262139, 59.580000000]: Control Output - Linear X: -1.00, Linear Y: 0.05, Angular Z: 1.00
[ INFO] [1775033727.961624040, 59.680000000]: Current Position - X: 0.96, Y: -0.06, Theta: 0.47
[ INFO] [1775033727.961713453, 59.680000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.35
[ INFO] [1775033727.961743055, 59.680000000]: Control Output - Linear X: 1.00, Linear Y: 1.00, Angular Z: -0.89
[ INFO] [1775033728.174003142, 59.780000000]: Current Position - X: 0.89, Y: -0.10, Theta: 0.50
[ INFO] [1775033728.174089099, 59.780000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.32
[ INFO] [1775033728.174120301, 59.780000000]: Control Output - Linear X: 0.63, Linear Y: 1.00, Angular Z: 0.76
[ INFO] [1775033728.436152103, 59.880000000]: Current Position - X: 0.88, Y: -0.10, Theta: 0.50
[ INFO] [1775033728.436272207, 59.880000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.32
[ INFO] [1775033728.436309425, 59.880000000]: Control Output - Linear X: 0.57, Linear Y: 1.00, Angular Z: 0.81
[ INFO] [1775033728.619616338, 59.980000000]: Current Position - X: 0.92, Y: -0.08, Theta: 0.51
[ INFO] [1775033728.619696663, 59.980000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.33
[ INFO] [1775033728.619723065, 59.980000000]: Control Output - Linear X: 0.48, Linear Y: 1.00, Angular Z: 0.84
[ INFO] [1775033728.913265316, 60.080000000]: Current Position - X: 0.99, Y: -0.04, Theta: 0.51
[ INFO] [1775033728.913349769, 60.080000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.36
[ INFO] [1775033728.913378059, 60.080000000]: Control Output - Linear X: 0.39, Linear Y: 1.00, Angular Z: 0.87
[ INFO] [1775033729.217139331, 60.180000000]: Current Position - X: 1.05, Y: -0.02, Theta: 0.56
[ INFO] [1775033729.217221704, 60.180000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.13
[ INFO] [1775033729.217249034, 60.180000000]: Control Output - Linear X: -1.00, Linear Y: -1.00, Angular Z: 1.00
[ INFO] [1775033729.504639453, 60.280000000]: Current Position - X: 1.07, Y: -0.00, Theta: 0.55
[ INFO] [1775033729.504727426, 60.280000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.14
[ INFO] [1775033729.504758244, 60.280000000]: Control Output - Linear X: -1.00, Linear Y: -0.01, Angular Z: 1.00
[ INFO] [1775033729.693398242, 60.380000000]: Current Position - X: 1.04, Y: -0.02, Theta: 0.55
